Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
127,2022,2022-12-24,15,16,29.194,LVR,@,PIT,L 10-13,,0,0,,0,2,2,27,13.50,0,100.0%,13.50,3,50,16.67,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,19%,0,0%,14,64%,
128,2022,2023-01-01,16,17,29.202,LVR,,SFO,L 34-37,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,9,13%,0,0%,19,58%,
129,2022,2023-01-07,17,18,29.208,LVR,,KAN,L 13-31,,0,0,,0,2,1,10,10.00,0,50.0%,5.00,1,25,25.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,26%,0,0%,14,61%,
130,2023,2023-09-10,1,1,30.089,LVR,@,DEN,W 17-16,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,12%,0,0%,10,53%,
131,2023,2023-09-17,2,2,30.096,LVR,@,BUF,L 10-38,,0,0,,0,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,15%,0,0%,13,59%,
132,2023,2023-09-24,3,3,30.103,LVR,,PIT,L 18-23,,0,0,,0,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,17%,0,0%,18,62%,
133,2023,2023-10-01,4,4,30.110,LVR,@,LAC,L 17-24,,0,0,,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,15,21%,0,0%,14,56%,
1,2016,2017-01-07,,18,,DET,@,SEA,L 6-26,Injured Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019,2020-01-05,17,18,26.206,MIN,@,NOR,W 26-20,,1,9,9.00,0,0,0,0,,0,0.0%,,1,3,3.00,0,0.0,1,1,2,0,0,3,4%,0,0%,20,63%,,,,,,,,,
3,2019,2020-01-11,18,19,26.212,MIN,@,SFO,L 10-27,,0,0,,0,1,1,7,7.00,0,100.0%,7.00,5,148,29.60,0,0.0,0,0,0,0,0,6,13%,0,0%,18,69%,,,,,,,,,
1,2023,2023-09-10,1,1,23.151,JAX,@,IND,W 31-21,,,,,,,,0,0%,6,8%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,
2,2023,2023-09-17,2,2,23.158,JAX,,KAN,L 9-17,,0.0,0,0,0,0,0,0,0%,16,24%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,
3,2023,2023-09-24,3,3,23.165,JAX,,HOU,L 17-37,,0.0,0,0,0,0,0,0,0%,11,20%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,
4,2023,2023-10-01,4,4,23.172,JAX,,ATL,W 23-7,,0.0,1,0,1,0,0,0,0%,8,14%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,
